inventory_id,product_id,size,colour,stock,sku,status
INV0001,TS001,XS,Black,14,TS001-XS-BLK,active
INV0002,TS001,XS,White,20,TS001-XS-WHT,active
INV0003,TS001,XS,Grey,0,TS001-XS-GRY,active
INV0004,TS001,S,Black,6,TS001-S-BLK,active
INV0005,TS001,S,White,12,TS001-S-WHT,active
INV0006,TS001,S,Grey,18,TS001-S-GRY,active
INV0007,TS001,M,Black,20,TS001-M-BLK,active
INV0008,TS001,M,White,0,TS001-M-WHT,active
INV0009,TS001,M,Grey,10,TS001-M-GRY,active
INV0010,TS001,L,Black,12,TS001-L-BLK,active
INV0011,TS001,L,White,18,TS001-L-WHT,active
INV0012,TS001,L,Grey,24,TS001-L-GRY,active
INV0013,TS001,XL,Black,0,TS001-XL-BLK,active
INV0014,TS001,XL,White,10,TS001-XL-WHT,active
INV0015,TS001,XL,Grey,16,TS001-XL-GRY,active
INV0016,TS001,XXL,Black,18,TS001-XXL-BLK,active
INV0017,TS001,XXL,White,24,TS001-XXL-WHT,active
INV0018,TS001,XXL,Grey,8,TS001-XXL-GRY,active
INV0019,TS002,XS,White,16,TS002-XS-WHT,active
INV0020,TS002,XS,Beige,22,TS002-XS-BEI,active
INV0021,TS002,S,White,8,TS002-S-WHT,active
INV0022,TS002,S,Beige,14,TS002-S-BEI,active
INV0023,TS002,M,White,22,TS002-M-WHT,active
INV0024,TS002,M,Beige,6,TS002-M-BEI,active
INV0025,TS002,L,White,14,TS002-L-WHT,active
INV0026,TS002,L,Beige,20,TS002-L-BEI,active
INV0027,TS002,XL,White,6,TS002-XL-WHT,active
INV0028,TS002,XL,Beige,12,TS002-XL-BEI,active
INV0029,TS002,XXL,White,20,TS002-XXL-WHT,active
INV0030,TS002,XXL,Beige,0,TS002-XXL-BEI,active
INV0031,TS003,XS,Beige,18,TS003-XS-BEI,active
INV0032,TS003,XS,Black,24,TS003-XS-BLK,active
INV0033,TS003,XS,Olive,8,TS003-XS-OLV,active
INV0034,TS003,S,Beige,10,TS003-S-BEI,active
INV0035,TS003,S,Black,16,TS003-S-BLK,active
INV0036,TS003,S,Olive,22,TS003-S-OLV,active
INV0037,TS003,M,Beige,24,TS003-M-BEI,active
INV0038,TS003,M,Black,8,TS003-M-BLK,active
INV0039,TS003,M,Olive,14,TS003-M-OLV,active
INV0040,TS003,L,Beige,16,TS003-L-BEI,active
INV0041,TS003,L,Black,22,TS003-L-BLK,active
INV0042,TS003,L,Olive,6,TS003-L-OLV,active
INV0043,TS003,XL,Beige,8,TS003-XL-BEI,active
INV0044,TS003,XL,Black,14,TS003-XL-BLK,active
INV0045,TS003,XL,Olive,20,TS003-XL-OLV,active
INV0046,TS003,XXL,Beige,22,TS003-XXL-BEI,active
INV0047,TS003,XXL,Black,6,TS003-XXL-BLK,active
INV0048,TS003,XXL,Olive,12,TS003-XXL-OLV,active
INV0049,TS004,XS,Olive,20,TS004-XS-OLV,active
INV0050,TS004,XS,Grey,0,TS004-XS-GRY,active
INV0051,TS004,XS,Black,10,TS004-XS-BLK,active
INV0052,TS004,S,Olive,12,TS004-S-OLV,active
INV0053,TS004,S,Grey,18,TS004-S-GRY,active
INV0054,TS004,S,Black,24,TS004-S-BLK,active
INV0055,TS004,M,Olive,0,TS004-M-OLV,active
INV0056,TS004,M,Grey,10,TS004-M-GRY,active
INV0057,TS004,M,Black,16,TS004-M-BLK,active
INV0058,TS004,L,Olive,18,TS004-L-OLV,active
INV0059,TS004,L,Grey,24,TS004-L-GRY,active
INV0060,TS004,L,Black,8,TS004-L-BLK,active
INV0061,TS004,XL,Olive,10,TS004-XL-OLV,active
INV0062,TS004,XL,Grey,16,TS004-XL-GRY,active
INV0063,TS004,XL,Black,22,TS004-XL-BLK,active
INV0064,TS004,XXL,Olive,24,TS004-XXL-OLV,active
INV0065,TS004,XXL,Grey,8,TS004-XXL-GRY,active
INV0066,TS004,XXL,Black,14,TS004-XXL-BLK,active
INV0067,TS005,S,Rust,22,TS005-S-RST,active
INV0068,TS005,S,Black,6,TS005-S-BLK,active
INV0069,TS005,M,Rust,14,TS005-M-RST,active
INV0070,TS005,M,Black,20,TS005-M-BLK,active
INV0071,TS005,L,Rust,6,TS005-L-RST,active
INV0072,TS005,L,Black,12,TS005-L-BLK,active
INV0073,TS005,XL,Rust,20,TS005-XL-RST,active
INV0074,TS005,XL,Black,0,TS005-XL-BLK,active
INV0075,TS006,XS,Grey,24,TS006-XS-GRY,active
INV0076,TS006,XS,Blue,8,TS006-XS-BLU,active
INV0077,TS006,S,Grey,16,TS006-S-GRY,active
INV0078,TS006,S,Blue,22,TS006-S-BLU,active
INV0079,TS006,M,Grey,8,TS006-M-GRY,active
INV0080,TS006,M,Blue,14,TS006-M-BLU,active
INV0081,TS006,L,Grey,22,TS006-L-GRY,active
INV0082,TS006,L,Blue,6,TS006-L-BLU,active
INV0083,TS006,XL,Grey,14,TS006-XL-GRY,active
INV0084,TS006,XL,Blue,20,TS006-XL-BLU,active
