product_id,name,slug,category,subcategory,price,compare_at_price,description,short_description,fabric,fit,care,badge,status,featured,image_1,image_2,image_3,image_4,sizes,colours,tags,created_at,updated_at
TS001,Essential Black Tee,essential-black-tee,T-Shirts,Basic,699,899,"The one you reach for every morning. A mid-weight 100% cotton crew neck with a clean regular fit, reinforced neck rib and a soft-washed hand feel that only gets better with wear.",Everyday cotton essential,"100% Combed Cotton, 180 GSM",Regular,Machine wash cold. Do not bleach. Dry in shade.,BESTSELLER,active,TRUE,https://images.pexels.com/photos/32071161/pexels-photo-32071161.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/20669538/pexels-photo-20669538.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Black,White,Grey","cotton,everyday,basic,crew neck",2025-01-10,2025-01-10
TS002,Cloud White Crew,cloud-white-crew,T-Shirts,Basic,649,,A clean white crew neck in breathable combed cotton. Slightly heavier fabric so it stays opaque and holds its shape wash after wash.,Breathable white crew neck,"100% Combed Cotton, 200 GSM",Regular,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/20669538/pexels-photo-20669538.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30710033/pexels-photo-30710033.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","White,Beige","cotton,everyday,white,crew neck",2025-01-12,2025-01-12
TS003,Oversized Sand Tee,oversized-sand-tee,T-Shirts,Oversized,799,999,A relaxed drop-shoulder tee in warm sand. Boxy through the body with a slightly longer sleeve. Made for easy weekends.,Relaxed drop-shoulder tee,"100% Cotton, 220 GSM",Oversized,Machine wash cold. Do not bleach. Dry in shade.,NEW,active,TRUE,https://images.pexels.com/photos/18257675/pexels-photo-18257675.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/20669538/pexels-photo-20669538.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Beige,Black,Olive","cotton,oversized,relaxed",2025-03-02,2025-03-02
TS004,Olive Pocket Tee,olive-pocket-tee,T-Shirts,Pocket,749,,A soft cotton tee with a single chest pocket. Slightly relaxed through the shoulder with a curved hem that sits well untucked.,Soft cotton tee with chest pocket,"100% Cotton, 180 GSM",Relaxed,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/9594692/pexels-photo-9594692.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18257675/pexels-photo-18257675.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Olive,Grey,Black","cotton,pocket,relaxed",2025-02-05,2025-02-05
TS005,Rust Heavyweight Tee,rust-heavyweight-tee,T-Shirts,Heavyweight,899,1099,A structured heavyweight tee with a firm collar and a slightly boxy cut. The fabric is dense enough to hold its shape but soft enough for all-day wear.,Structured heavyweight cotton,"100% Cotton, 240 GSM",Boxy,Machine wash cold. Do not bleach. Dry in shade.,LIMITED,active,FALSE,https://images.pexels.com/photos/8148577/pexels-photo-8148577.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18265937/pexels-photo-18265937.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"S,M,L,XL","Rust,Black","cotton,heavyweight,boxy",2025-03-15,2025-03-15
TS006,Everyday Grey Melange,everyday-grey-melange,T-Shirts,Basic,649,,"The classic grey melange crew neck. Light, soft and easy to layer. A staple for training days and lazy days alike.",Classic melange crew neck,"60% Cotton 40% Polyester, 170 GSM",Regular,Machine wash cold. Do not bleach. Dry in shade.,,active,TRUE,https://images.pexels.com/photos/30710033/pexels-photo-30710033.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8217291/pexels-photo-8217291.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Grey,Blue","cotton,everyday,melange,basic",2025-01-20,2025-01-20
TS007,Colour Block Tee,colour-block-tee,T-Shirts,Graphic,849,,A two-tone relaxed tee with contrast panels at the sleeves. Cut a touch longer for a modern proportion.,Two-tone relaxed tee,"100% Cotton, 200 GSM",Relaxed,Machine wash cold. Do not bleach. Dry in shade.,NEW,active,FALSE,https://images.pexels.com/photos/18265937/pexels-photo-18265937.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8217291/pexels-photo-8217291.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Blue,Beige","cotton,graphic,colour block",2025-03-20,2025-03-20
SH001,Sand Linen Shirt,sand-linen-shirt,Shirts,Linen,1299,1599,A breezy short-sleeve linen shirt with a camp collar. Wears cool in the heat and softens with every wash.,Breezy short-sleeve linen,55% Linen 45% Cotton,Relaxed,Machine wash gentle. Iron while damp.,BESTSELLER,active,TRUE,https://images.pexels.com/photos/17251247/pexels-photo-17251247.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/4443831/pexels-photo-4443831.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Beige,White,Olive","linen,summer,short sleeve,shirt",2025-02-01,2025-02-01
SH002,Midnight Oxford Shirt,midnight-oxford-shirt,Shirts,Oxford,1199,,"A classic long-sleeve oxford shirt in deep navy. Button-down collar, single chest pocket and a comfortable regular fit.",Classic long-sleeve oxford,100% Cotton Oxford,Regular,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/32224552/pexels-photo-32224552.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8972551/pexels-photo-8972551.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Blue,Black,White","oxford,formal,long sleeve,shirt",2025-01-25,2025-01-25
SH003,Dotted Blue Casual Shirt,dotted-blue-casual-shirt,Shirts,Printed,1099,1399,A subtle dotted print shirt in a soft cotton poplin. Works tucked in with trousers or loose over a tee.,Subtle dotted print shirt,100% Cotton Poplin,Regular,Machine wash cold. Do not bleach. Dry in shade.,NEW,active,FALSE,https://images.pexels.com/photos/4443831/pexels-photo-4443831.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/17251247/pexels-photo-17251247.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Blue,White","printed,casual,shirt",2025-03-05,2025-03-05
